,,,FREEHOLD PURCHASE,,,,,,,FREEHOLD SALE,,,,,,,LEASEHOLD PURCHASE,,,,,,,LEASEHOLD SALE,,,,,,,MODIFIERS,,,,,,,,ADDITIONAL COSTS (NOT DISBURSEMENTS),,,,,DISBURSEMENTS
CML firm ID,Trading name (for display),Price type,FHP £150k,FHP £250k,FHP £500k,FHP £750k,FHP £1m,FHP £1.25m,FHP £1.5m,FHS £150k,FHS £250k,FHS £500k,FHS £750k,FHS £1m,FHS £1.25m,FHS £1.5m,LHP £150k,LHP £250k,LHP £500k,LHP £750k,LHP £1m,LHP £1.25m,LHP £1.5m,LHS £150k,LHS £250k,LHS £500k,LHS £750k,LHS £1m,LHS £1.25m,LHS £1.5m,Purchase - New build                        (freehold),Purchase - New lease                  (leasehold),Purchase - Acting for lender,Purchase - Shared ownership/Help to Buy,Purchase - Gifted deposit,Purchase - Unregistered title,Sale - Unregistered title,Sale - Additional mortgage redemption,Additional - ID verification,Additional - onboarding fee,Additional - transfer admin fee,SDLT admin fee,Leasehold admin fee,Disb - searches                                   (CML standard pack)
CML-001,Talbots Law,Estimated,750,900,1000,1100,1250,1350,1450,750,900,1000,1100,1250,1350,1450,750,900,1000,1100,1250,1350,1450,750,900,1000,1100,1250,1350,1450,0,0,100,250,75,150,150,100,8,0,40,80,250,350
CML-002,Poole Alcock,Estimated,1250,1250,1250,1250,2000,2500,3000,1000,1000,1000,1000,2000,2500,3000,1500,1500,1500,1500,2000,2500,3000,1250,1250,1250,1250,2000,2500,3000,250,0,0,0,0,0,0,0,25,0,0,0,0,350
CML-003,Knights ,Estimated,4500,4500,4500,4750,5000,5500,6000,4500,4500,4500,4750,5000,5500,6000,4500,4500,4500,4750,5000,5500,6000,4500,4500,4500,4750,5000,5500,6000,500,0,250,500,75,500,0,0,25,0,0,0,500,350
CML-004,Davisons Law,Estimated,500,600,650,750,800,900,950,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,500,600,650,750,800,900,950,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,0,0,150,0,0,0,0,0,0,0,30,0,0,350
CML-005,Irwin Mitchell ,Estimated,1600,1800,2300,2750,3250,3700,4100,1300,1450,1850,2250,2950,3250,3550,1600,1800,2300,2750,3250,3700,4100,1300,1450,1850,2250,2950,3250,3550,0,0,0,0,0,0,0,0,0,0,45,0,0,350
CML-006,Shakespeare Martineau ,Estimated,2000,2100,2450,2800,3100,3450,3800,1600,1700,2050,2400,2750,3100,3450,2300,2450,2800,3150,3450,3800,4150,2000,2100,2450,2800,3100,3450,3800,500,500,275,0,0,0,0,0,0,0,30,0,0,350
CML-007,HCB Solicitors ,No data,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,350
CML-008,Star Legal Solicitors,Estimated,1100,1300,1500,1650,1800,1950,2100,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,1050,1200,1400,1550,1700,1850,2000,0,0,35,0,0,0,0,0,0,45,40,100,0,350
CML-009,HCR Law,Estimated,500,600,700,1500,1650,1750,1900,500,600,700,1500,1650,1750,1900,500,600,700,1500,1650,1750,1900,500,600,700,1500,1650,1750,1900,0,0,0,0,0,0,0,0,0,0,30,0,0,350
CML-010,Hine Solicitors ,Estimated,1000,1200,1400,1500,1650,1800,1950,1000,1200,1400,1500,1650,1800,1950,1100,1300,1500,1650,1800,1950,2100,1250,1450,1650,1850,2000,2150,2350,200,0,150,200,0,0,0,0,30,0,30,30,150,350
CML-011,David J Foster & Co ,Estimated,900,1050,1300,1500,1650,3000,3850,850,950,1200,1400,1550,3000,3850,1000,1150,1400,1600,1800,3000,3850,1000,1050,1300,1500,1700,3000,3850,250,0,0,150,100,0,0,50,8,0,10,50,0,350
CML-012,FBC Manby Bowdler ,Estimated,2500,3000,3500,4000,4500,5000,5500,2000,2500,3000,3500,4000,4500,5000,3000,3500,4000,4500,5000,5500,6000,2500,3000,3500,4000,4500,5000,5500,0,0,0,0,0,0,0,0,8,250,0,0,0,350
CML-013,Hill Dickinson,Estimated,1500,1800,2500,3300,5000,5000,5000,1500,1800,2500,3300,5000,5000,5000,1500,1800,2500,3300,5000,5000,5000,1500,1800,2500,3300,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,24,0,0,350
CML-014,Spencer West,Estimated,1750,2050,2600,2900,3150,3400,3700,1750,2050,2600,2900,3150,3400,3700,2000,2350,3000,3300,3600,3900,4200,2000,2350,3000,3300,3600,3900,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,350
CML-015,Weightmans ,Estimated,1500,1750,2000,2250,2500,2750,3000,1500,1750,2000,2250,2500,2750,3000,2000,2250,2500,2750,3000,3250,3500,2000,2250,2500,2750,3000,3250,3500,1000,0,750,250,250,750,0,0,0,0,0,100,500,350
CML-016,Gordon & Thompson Solicitors,Estimated,400,500,600,650,700,750,850,400,500,600,650,700,750,850,400,500,600,650,700,750,850,400,500,600,650,700,750,850,0,0,0,0,0,0,0,0,0,0,0,0,0,350
CML-017,NBB Waldrons Solicitors,Estimated,1100,1300,1500,1650,1800,1950,2100,1100,1300,1500,1650,1800,1950,2100,1400,1650,1900,2100,2300,2500,2650,1400,1650,1900,2100,2300,2500,2650,0,0,0,0,0,0,0,0,0,0,35,0,200,350
CML-018,Glover Priest Solicitors ,Estimated,500,600,700,750,800,900,950,450,550,600,650,750,800,850,500,600,700,750,800,900,950,450,550,600,650,750,800,850,150,0,95,300,100,225,0,85,20,160,35,55,250,350
CML-019,Gunnercooke,Estimated,750,1250,2500,3000,4000,4400,5250,750,1250,2500,3000,4000,4400,5250,1050,1750,3500,4500,6000,6900,8250,1050,1750,3500,4500,6000,6900,8250,0,0,0,0,0,0,0,0,0,10,20,0,0,350
CML-020,MFG Solicitors,Estimated,1400,1600,1900,2600,3300,4000,4700,1400,1600,1900,2600,3300,4000,4700,1600,1800,2100,2800,3500,4200,4900,1400,1600,1900,2600,3300,4000,4700,0,0,0,0,0,0,0,0,30,0,30,0,0,350
CML-021,Alsters Kelley Solicitors ,No data,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,350
CML-022,Clarke Willmott,Estimated,1700,2000,2300,2550,2750,3000,3250,1450,1700,1950,2150,2350,2550,2750,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,500,0,0,0,0,0,0,0,0,0,0,0,0,350
