Organisation name,SRA number,Status,Address line 1,Address line 2,City,County,Postcode,Website,Phone,Email
Lyndon Smith LLP,9000001,Authorised,1 High Street,,Birmingham,West Midlands,B17 9LJ,https://example.com/9000001,0121 000 0000,hello@9000001.example.com
Whitmore & Partners,9000002,Authorised,1 High Street,,Birmingham,West Midlands,B5 4UA,https://example.com/9000002,0121 000 0000,hello@9000002.example.com
Coventry Legal Solutions,9000003,Authorised,1 High Street,,Coventry,West Midlands,CV1 3HJ,https://example.com/9000003,0121 000 0000,hello@9000003.example.com
Bridge Street Solicitors,9000004,Authorised,1 High Street,,Dudley,West Midlands,DY1 1QT,https://example.com/9000004,0121 000 0000,hello@9000004.example.com
Wolverhampton Conveyancing Co,9000005,Authorised,1 High Street,,Wolverhampton,West Midlands,WV1 2HQ,https://example.com/9000005,0121 000 0000,hello@9000005.example.com
Walsall Property Lawyers,9000006,Conditions,1 High Street,,Walsall,West Midlands,WS1 1QW,https://example.com/9000006,0121 000 0000,hello@9000006.example.com
Heaton & Co,9000007,Authorised,1 High Street,,Birmingham,West Midlands,B91 1RW,https://example.com/9000007,0121 000 0000,hello@9000007.example.com
Old Square Solicitors,9000008,Authorised,1 High Street,,Birmingham,West Midlands,B3 1HG,https://example.com/9000008,0121 000 0000,hello@9000008.example.com
Edgbaston Legal,9000009,Authorised,1 High Street,,Birmingham,West Midlands,B16 9NU,https://example.com/9000009,0121 000 0000,hello@9000009.example.com
Sutton Coldfield Conveyancers,9000010,Authorised,1 High Street,,Birmingham,West Midlands,B73 6RG,https://example.com/9000010,0121 000 0000,hello@9000010.example.com
Coventry Heritage Solicitors,9000011,Authorised,1 High Street,,Coventry,West Midlands,CV3 2BD,https://example.com/9000011,0121 000 0000,hello@9000011.example.com
Black Country Legal,9000012,Authorised,1 High Street,,Dudley,West Midlands,DY8 1XJ,https://example.com/9000012,0121 000 0000,hello@9000012.example.com
Wolverhampton Old Hall,9000013,Authorised,1 High Street,,Wolverhampton,West Midlands,WV3 9DZ,https://example.com/9000013,0121 000 0000,hello@9000013.example.com
Penn Common Solicitors,9000014,Authorised,1 High Street,,Wolverhampton,West Midlands,WV4 5HX,https://example.com/9000014,0121 000 0000,hello@9000014.example.com
Chambers Bridge Lawyers (DEFUNCT),9000015,Authorised,1 High Street,,Birmingham,West Midlands,B12 0BJ,https://example.com/9000015,0121 000 0000,hello@9000015.example.com
